,Model Name,More Info,Years,Production,Engine,Power,Torque,0-60 mph,Top Speed
34,Ferrari 330 GTC,https://www.supercars.net/blog/category/brand/ferrari/ferrari-330-gtc,1966 - 1968,598 units,4.0 L Colombo V12,300 bhp @ 7000 rpm,240 lb/ft @ 5000 rpm,6.9 seconds,152 mph
35,Ferrari 330 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-330-gts/,1966 - 1968,100 units,4.0 L Colombo V12,300 bhp @ 7000 rpm,240 lb/ft @ 5000 rpm,6.9 seconds,152 mph
36,Ferrari 365 California,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-365/ferrari-365-california/,1966 - 1967,14 units,4.4 L Colombo V12,320 bhp @ 6600 rpm,253 lb/ft @ 5000 rpm,7.1 seconds,152 mph
37,Ferrari 365 GT 2+2,https://www.supercars.net/blog/category/brand/ferrari/ferrari-365-gt-22,1967 - 1971,800 units,4.4 L Colombo V12,320 bhp @ 6600 rpm,308 lb/ft @ 5000 rpm,7.1 seconds,152 mph
38,Ferrari 365 GTB/4 (Daytona),https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-365/ferrari-365-gtb-4-daytona/,1968 - 1973,"1,284 units",4.4 L Colombo V12,347 bhp @ 7500 rpm,318 lb/ft @ 5500 rpm,5.4 seconds,173 mph
39,Ferrari 365 GTC,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-365/ferrari-365-gtc/,1968 - 1970,168 units,4.4 L Colombo V12,320 bhp @ 7000 rpm,240 lb/ft @ 2500 rpm,6.9 seconds,152 mph
40,Ferrari 365 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-365-gts,1968 - 1970,20 units,4.4 L Colombo V12,320 bhp @ 7000 rpm,240 lb/ft @ 2500 rpm,6.9 seconds,152 mph
41,Ferrari 365 GTC4,https://www.supercars.net/blog/category/brand/ferrari/ferrari-365-gtc-4/,1971 - 1972,505 units,4.4 L Colombo V12,340 bhp @ 6200 rpm,318 lb/ft @ 4000 rpm,6.7 seconds,163 mph
42,Ferrari 365 GT4 2+2,https://www.supercars.net/blog/category/brand/ferrari/ferrari-365-gtc-4/,1972 - 1976,524 units,4.4 L Nat Asp V12,340 bhp @ 6200 rpm,318 lb/ft @ 4000 rpm,7.0 seconds,163 mph
43,Ferrari 400 Auto,https://www.supercars.net/blog/category/brand/ferrari/ferrari-400,1976 - 1979,355 units,4.8 L Nat Asp V12,340 bhp @ 7700 rpm,347 lb/ft @ 3600 rpm,7.1 seconds,150 mph
44,Ferrari 400 GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-400,1976 - 1979,147 units,4.8 L Nat Asp V12,340 bhp @ 7700 rpm,347 lb/ft @ 3600 rpm,7.1 seconds,150 mph
45,Ferrari 400 Auto i,https://www.supercars.net/blog/category/brand/ferrari/ferrari-400i,1979 - 1985,422 units,4.8 L Nat Asp V12,306 bhp @ 6400 rpm,289 lb/ft @ 4200 rpm,8.3 seconds,150 mph
46,Ferrari 400 GTi,https://www.supercars.net/blog/category/brand/ferrari/ferrari-400i,1979 - 1985,883 units,4.8 L Nat Asp V12,306 bhp @ 6400 rpm,289 lb/ft @ 4200 rpm,8.3 seconds,150 mph
47,Ferrari 412,https://www.supercars.net/blog/category/brand/ferrari/ferrari-412,1985 - 1989,"270 (GT), 306 (A)",4.9 L Nat Asp V12,335 bhp @ 6000 rpm,327 lb/ft @ 4200 rpm,6.7 seconds,155 mph
48,Dino 206 GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-dino/ferrari-dino-206-gt/,1968 - 1969,152 units,2.0 L Dino 65° V6,180 bhp @ 8000 rpm,137 lb/ft @ 6500 rpm,7.5 seconds,146 mph
49,Dino 246 GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-dino-246gt,1969 - 1974,"2,295 units",2.4 L Dino 65° V6,192 bhp @ 7600 rpm,166 lb/ft @ 5500 rpm,6.5 seconds,146 mph
50,Dino 246 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-dino/ferrari-dino-246-gts/,1972 - 1974,"1,274 units",2.4 L Dino 65° V6,192 bhp @ 7600 rpm,166 lb/ft @ 5500 rpm,6.5 seconds,146 mph
51,Dino 308 GT4,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gt4/ferrari-dino-308-gt4/,1973 - 1975,N/A,2.9 L Dino V8,227 bhp @ 6600 rpm,203 lb/ft @ 4600 rpm,N/A,147 mph
52,Ferrari 308 GT4,https://www.supercars.net/blog/category/brand/ferrari/ferrari-dino-208-gt4/,1976 - 1980,N/A,2.9 L Dino V8,227 bhp @ 6600 rpm,203 lb/ft @ 4600 rpm,N/A,147 mph
