Model Name;More Info;Years;Cost;Production;Engine;Power;Torque;0-60 mph;Top Speed;Engine displacement;Engine configuration;Start Year;Power BHP;Top Speed [km/h];Torque [Nm];Cylinder count
Dino 246 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-dino/ferrari-dino-246-gts/;1972 - 1974;;1,274 units;2,4 L Dino 65° V6;192 bhp @ 7600 rpm;166 lb/ft @ 5500 rpm;6.5 seconds;146 mph;2,4;V6;1972;192;234,96;225,07;6
Dino 308 GT4;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gt4/ferrari-dino-308-gt4/;1973 - 1975;;N/A;2,9 L Dino V8;227 bhp @ 6600 rpm;203 lb/ft @ 4600 rpm;N/A;147 mph;2,9;V8;1973;227;236,57;275,23;8
Ferrari 308 GT4;https://www.supercars.net/blog/category/brand/ferrari/ferrari-dino-208-gt4/;1976 - 1980;;N/A;2,9 L Dino V8;227 bhp @ 6600 rpm;203 lb/ft @ 4600 rpm;N/A;147 mph;2,9;V8;1976;227;236,57;275,23;8
Ferrari 208 GT4;https://www.supercars.net/blog/category/brand/ferrari/ferrari-dino-208-gt4/;1976 - 1980;;N/A;2,0 L Dino V8;167 bhp @ 7700 rpm;137 lb/ft @ 4900 rpm;N/A;137 mph;2;V8;1976;167;220,48;185,75;8
Ferrari 365 GT4 BB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-berlinetta-boxer/ferrari-365-gt4-bb/;1973 - 1976;;387 units;4,4 L Nat Asp Flat-12;339 bhp @ 7200 rpm;335 lb/ft @ 6200 rpm;5.4 seconds;188 mph;4,4;Flat-12;1973;339;302,56;454,20;12
Ferrari 512 BB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-berlinetta-boxer/ferrari-512-bb/;1976 - 1981;;929 units;4,9 L Nat Asp Flat-12;360 bhp @ 6200 rpm;332 lb/ft @ 4600 rpm;5.5 seconds;160 mph;4,9;Flat-12;1976;360;257,50;450,13;12
Ferrari 512 BBi;https://www.supercars.net/blog/category/brand/ferrari/ferrari-512i-bb;1981 - 1984;;1,007 units;4,9 L Nat Asp Flat-12;340 bhp @ 6000 rpm;332 lb/ft @ 4200 rpm;5.4 seconds;174 mph;4,9;Flat-12;1981;340;280,03;450,13;12
Ferrari 308 GTB Vetroresina;https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtb/;1975 - 1977;;808 units;2,9 L Nat Asp V8;255 bhp @ 7500 rpm;210 lb/ft @ 5000 rpm;6.2 seconds;155 mph;2,9;V8;1975;255;249,45;284,72;8
Ferrari 308 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-308-gtb/;1975 - 1980;;2,185 units;2,9 L Nat Asp V8;255 bhp @ 7500 rpm;210 lb/ft @ 5000 rpm;6.2 seconds;155 mph;2,9;V8;1975;255;249,45;284,72;8
Ferrari 308 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-308-gts/;1977 - 1980;;3,219 units;2,9 L Nat Asp V8;255 bhp @ 7500 rpm;210 lb/ft @ 5000 rpm;6.2 seconds;155 mph;2,9;V8;1977;255;249,45;284,72;8
Ferrari 208 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-208-gtb/;1980 - 1981;;160 units;2,0 L Nat Asp V8;153 bhp @ 6800 rpm;125 lb/ft @ 4200 rpm;6.8 seconds;134 mph;2;V8;1980;153;215,65;169,48;8
